date	Adan Yabaal	Afgooye	Afmadow	Baardheere	Badhaadhe	Baki	Balcad	Bandarbeyla	Baraawe	Baydhaba	Belet Weyne	Belet Xaawo	Berbera	Borama	Bossaso	Bu'aale	Bulo Burto	Burco	Burtinle	Buuhoodle	Buur Hakaba	Cabudwaaq	Cadaado	Cadale	Caluula	Caynabo	Ceel Afweyn	Ceel Barde	Ceel Buur	Ceel Dheer	Ceel Waaq	Ceerigaabo	Dhuusamarreeb	Diinsoor	Doolow	Eyl	Gaalkacyo	Galdogob	Garbahaarey	Garoowe	Gebiley	Hargeysa	Hobyo	Iskushuban	Jalalaqsi	Jamaame	Jariiban	Jilib	Jowhar	Kismaayo	Kurtunwaarey	Laas Caanood	Laasqoray	Lughaye	Luuq	Marka	Mogadishu	Owdweyne	Qandala	Qansax Dheere	Qardho	Qoryooley	Rab Dhuure	Saakow	Sablaale	Sheikh	Taleex	Tayeeglow	Waajid	Wanla Weyn	Xarardheere	Xudun	Xudur	Zeylac
2010-01	0.0	0.0	6.926406926406927e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.1948051948051944e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.329004329004329e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2010-02	0.0	0.0010216450216450216	0.002727272727272727	0.0049350649350649355	0.005982683982683983	0.11428571428571428	0.0002943722943722944	0.0	3.4632034632034636e-05	0.027783549783549785	0.003393939393939394	0.043965367965367964	0.01199134199134199	0.19480519480519481	0.00025108225108225104	0.0023896103896103894	0.011082251082251082	0.0016363636363636363	0.0003116883116883117	0.0005194805194805195	0.016	0.0	0.0	0.0	0.007445887445887446	0.0008484848484848485	0.0036103896103896103	0.0030822510822510825	0.001393939393939394	0.0007272727272727272	0.01723809523809524	0.001341991341991342	2.5974025974025972e-05	0.025991341991341992	0.027593073593073593	0.0	0.0	0.0	0.014701298701298701	0.00025974025974025974	0.19826839826839826	0.05192207792207792	0.0	0.0058874458874458874	0.023316017316017314	0.0	0.0	0.0	0.015324675324675324	0.0009177489177489178	0.0001645021645021645	7.792207792207792e-05	0.001090909090909091	0.07993073593073592	0.013471861471861472	0.0	0.0	0.010277056277056277	0.003774891774891775	0.021974025974025972	0.001792207792207792	0.0	0.008935064935064935	0.021904761904761906	0.0016017316017316017	0.008380952380952381	0.0029264069264069263	0.014536796536796535	0.017818181818181816	0.011852813852813853	0.0	0.00030303030303030303	0.008813852813852814	0.1038961038961039
2010-03	0.037593073593073595	0.04890909090909091	0.21818181818181817	0.22597402597402597	0.2510822510822511	0.007186147186147187	0.04174891774891775	0.01579220779220779	0.02821645021645022	0.1341991341991342	0.01721212121212121	0.11428571428571428	0.020432900432900435	0.03455411255411255	0.008095238095238095	0.13246753246753246	0.033645021645021644	0.023298701298701298	0.019272727272727275	0.018718614718614718	0.11428571428571428	0.002285714285714286	0.005792207792207792	0.0443982683982684	0.0024588744588744586	0.025948051948051946	0.03730735930735931	0.08831168831168831	0.012926406926406927	0.02258008658008658	0.17142857142857143	0.014735930735930736	0.0009177489177489178	0.13852813852813853	0.11255411255411256	0.002735930735930736	0.01767099567099567	0.019367965367965367	0.1445887445887446	0.008406926406926408	0.026718614718614718	0.05362770562770563	0.0009177489177489178	0.014043290043290042	0.046285714285714284	0.0667012987012987	0.006251082251082251	0.08263203463203463	0.058545454545454546	0.16277056277056276	0.07837229437229437	0.015411255411255412	0.007783549783549784	0.0014285714285714286	0.15411255411255412	0.024536796536796537	0.0	0.031082251082251083	0.0051428571428571435	0.17662337662337663	0.011324675324675324	0.06883982683982684	0.18354978354978355	0.2077922077922078	0.08658008658008658	0.04523809523809524	0.015774891774891775	0.0623030303030303	0.15670995670995672	0.07577489177489177	0.006190476190476191	0.025298701298701296	0.09956709956709957	0.0037402597402597403
2010-04	0.2753246753246753	0.5601731601731602	0.5038961038961038	0.41385281385281386	0.45281385281385284	0.17316017316017315	0.5272727272727272	0.129004329004329	0.5567099567099567	0.4354978354978355	0.18268398268398267	0.2909090909090909	0.14285714285714285	0.18354978354978355	0.06419047619047619	0.5852813852813853	0.2735930735930736	0.17662337662337663	0.18614718614718614	0.12121212121212122	0.561038961038961	0.16017316017316016	0.12554112554112554	0.4077922077922078	0.026632034632034632	0.12554112554112554	0.17402597402597403	0.15844155844155844	0.19826839826839826	0.20086580086580086	0.36103896103896105	0.11428571428571428	0.2051948051948052	0.5004329004329005	0.07604329004329004	0.22337662337662337	0.15584415584415584	0.14285714285714285	0.3541125541125541	0.15670995670995672	0.2813852813852814	0.24415584415584415	0.16103896103896104	0.10303030303030303	0.4458874458874459	0.41385281385281386	0.18181818181818182	0.5385281385281385	0.5281385281385281	0.4701298701298701	0.6588744588744588	0.12034632034632034	0.07686580086580087	0.051238095238095235	0.19480519480519481	0.5515151515151515	0.0	0.20606060606060606	0.05918614718614718	0.45281385281385284	0.09610389610389611	0.6493506493506493	0.11774891774891776	0.5073593073593073	0.6121212121212121	0.3151515151515151	0.11688311688311688	0.31341991341991343	0.28225108225108225	0.554978354978355	0.2025974025974026	0.11861471861471862	0.2025974025974026	0.02633766233766234
2010-05	0.06838961038961039	0.16103896103896104	0.18614718614718614	0.08917748917748917	0.23809523809523808	0.04301298701298701	0.13246753246753246	0.14891774891774892	0.15930735930735931	0.061549783549783556	0.14112554112554113	0.016493506493506494	0.14805194805194805	0.010372294372294373	0.18354978354978355	0.258008658008658	0.0987012987012987	0.17575757575757575	0.2077922077922078	0.1722943722943723	0.1393939393939394	0.18961038961038962	0.24415584415584415	0.08042424242424243	0.18961038961038962	0.16883116883116883	0.16796536796536796	0.06544588744588745	0.11861471861471862	0.0748917748917749	0.04941125541125541	0.1748917748917749	0.17575757575757575	0.14805194805194805	0.022164502164502164	0.19567099567099566	0.23982683982683983	0.31341991341991343	0.023965367965367964	0.18874458874458874	0.017272727272727273	0.13333333333333333	0.15930735930735931	0.17316017316017315	0.07973160173160174	0.21558441558441557	0.19393939393939394	0.22683982683982684	0.07671861471861471	0.22077922077922077	0.22251082251082252	0.19826839826839826	0.1800865800865801	0.03326406926406927	0.022467532467532466	0.15411255411255412	0.0	0.1748917748917749	0.19393939393939394	0.051411255411255415	0.18614718614718614	0.21558441558441557	0.03646753246753247	0.15930735930735931	0.23722943722943723	0.18354978354978355	0.18441558441558442	0.08831168831168831	0.03799134199134199	0.10995670995670996	0.09177489177489177	0.17835497835497835	0.05587878787878788	0.009956709956709957
2010-06	0.009679653679653679	0.17056277056277055	0.19047619047619047	0.10822510822510822	0.18787878787878787	0.007437229437229437	0.18181818181818182	0.010242424242424242	0.23636363636363636	0.033385281385281386	0.003670995670995671	0.012606060606060607	0.003922077922077922	0.011532467532467533	0.01656277056277056	0.27445887445887446	0.005982683982683983	0.004051948051948051	0.007904761904761906	0.0017835497835497836	0.12380952380952381	0.004155844155844156	0.006995670995670996	0.08548917748917749	0.014199134199134197	0.005220779220779221	0.007134199134199134	0.0006666666666666666	0.0065108225108225105	0.005411255411255411	0.04644155844155844	0.01167965367965368	0.005688311688311689	0.15584415584415584	0.004813852813852814	0.007965367965367965	0.005021645021645022	0.0009350649350649351	0.0296017316017316	0.004952380952380952	0.033818181818181824	0.021333333333333333	0.006372294372294373	0.018874458874458874	0.021073593073593074	0.2502164502164502	0.005670995670995671	0.2779220779220779	0.09090909090909091	0.22337662337662337	0.21385281385281385	0.003766233766233766	0.010943722943722945	0.00017316017316017316	0.008147186147186148	0.2	0.0	0.007567099567099568	0.020034632034632033	0.06865800865800865	0.008259740259740259	0.18961038961038962	0.0007965367965367966	0.18181818181818182	0.2753246753246753	0.00509090909090909	0.004216450216450216	0.009731601731601732	0.0041818181818181815	0.10476190476190476	0.007324675324675326	0.003463203463203463	0.0031515151515151517	0.0043030303030303025
2010-07	0.0002683982683982684	0.0	0.00022510822510822512	4.329004329004329e-05	0.0013766233766233768	0.0314978354978355	0.0001645021645021645	0.025965367965367966	0.0003116883116883117	0.0001818181818181818	0.0009004329004329005	0.0006060606060606061	0.09177489177489177	0.059688311688311686	0.0023722943722943725	0.0003982683982683983	0.0005021645021645021	0.052536796536796534	0.0003116883116883117	0.023012987012987013	0.0006493506493506494	5.1948051948051944e-05	0.0	0.004155844155844156	0.0017835497835497836	0.028173160173160173	0.035255411255411255	0.00464935064935065	0.0005714285714285715	0.00296969696969697	0.00013852813852813854	0.020303030303030302	0.001393939393939394	0.0	0.0031341991341991343	0.0032813852813852813	0.0	0.0	0.0001471861471861472	0.01851948051948052	0.06231168831168831	0.14632034632034632	0.00341991341991342	0.00035497835497835497	0.0009090909090909091	0.0	3.4632034632034636e-05	0.00025974025974025974	0.0032034632034632035	0.0026666666666666666	0.0	0.016493506493506494	0.007948051948051947	0.00941991341991342	0.0022337662337662337	0.0	0.0	0.10476190476190476	0.0011861471861471862	6.926406926406927e-05	0.020528138528138527	0.0	0.0036103896103896103	0.0	5.1948051948051944e-05	0.11948051948051948	0.024277056277056275	0.0003203463203463203	0.0016883116883116883	0.0017316017316017316	0.0029264069264069263	0.018147186147186148	0.0019653679653679652	0.014294372294372295
2010-08	0.040995670995670995	0.05012987012987013	0.02231168831168831	0.015826839826839828	0.012874458874458873	0.18354978354978355	0.05330735930735931	0.003108225108225108	0.03844155844155844	0.05858874458874459	0.09523809523809523	0.03725541125541126	0.04955844155844156	0.42164502164502166	0.0008484848484848485	0.036987012987012985	0.09610389610389611	0.005385281385281385	0.016069264069264066	0.026372294372294373	0.04605194805194805	0.07308225108225108	0.08528138528138528	0.07433766233766234	0.0	0.0004935064935064935	0.013852813852813853	0.07672727272727273	0.062995670995671	0.02748051948051948	0.03858008658008658	0.01529004329004329	0.05857142857142857	0.04032034632034632	0.03489177489177489	0.010614718614718615	0.04876190476190476	0.07868398268398268	0.037142857142857144	0.0027099567099567097	0.34285714285714286	0.10995670995670996	0.008683982683982683	8.658008658008659e-06	0.09004329004329005	0.02522943722943723	0.00022510822510822512	0.017593073593073594	0.07405194805194805	0.0027705627705627706	0.05327272727272728	0.013082251082251082	0.0007359307359307359	0.12987012987012986	0.052961038961038966	0.061627705627705635	0.0	0.01636363636363636	0.0005367965367965368	0.0404935064935065	0.00020779220779220778	0.04959307359307359	0.08205194805194804	0.024675324675324677	0.0367012987012987	0.015965367965367967	5.1948051948051944e-05	0.09437229437229437	0.043904761904761905	0.05191341991341991	0.025134199134199134	3.4632034632034636e-05	0.0845021645021645	0.21991341991341992
2010-09	0.20086580086580086	0.05632900432900433	0.005168831168831168	0.031307359307359305	0.0009783549783549783	0.030320346320346324	0.09783549783549783	0.0002943722943722944	0.006147186147186147	0.15411255411255412	0.15497835497835497	0.07443290043290043	0.07024242424242425	0.05601731601731602	0.06150649350649351	0.006329004329004329	0.18181818181818182	0.025194805194805197	0.01457142857142857	0.01633766233766234	0.10735930735930736	0.1471861471861472	0.14372294372294372	0.19307359307359306	0.008363636363636363	0.01574025974025974	0.042155844155844155	0.11948051948051948	0.1523809523809524	0.17662337662337663	0.05395670995670996	0.03229437229437229	0.16363636363636364	0.042822510822510824	0.12034632034632034	0.00041558441558441555	0.0643030303030303	0.15324675324675324	0.06623376623376623	6.926406926406927e-05	0.07406060606060606	0.11255411255411256	0.03436363636363636	0.010493506493506492	0.21385281385281385	8.658008658008658e-05	0.0003982683982683983	0.005125541125541125	0.18095238095238095	0.0	0.01637229437229437	0.013956709956709957	0.03292640692640693	0.007229437229437229	0.13073593073593073	0.01748917748917749	0.0	0.0676883116883117	0.04671861471861472	0.09437229437229437	0.007376623376623376	0.02876190476190476	0.1367965367965368	0.005012987012987013	0.005541125541125541	0.09696969696969697	0.0	0.1748917748917749	0.15757575757575756	0.1471861471861472	0.08136796536796537	0.00046753246753246754	0.14805194805194805	0.005272727272727273
2010-10	0.03367965367965368	0.052805194805194806	0.07284848484848484	0.11948051948051948	0.07102164502164503	0.009645021645021646	0.07566233766233767	0.019601731601731603	0.01922943722943723	0.12987012987012986	0.07399134199134198	0.05865800865800866	0.048701298701298704	0.0	0.031047619047619046	0.07950649350649351	0.02437229437229437	0.04774891774891775	0.06700432900432901	0.04598268398268398	0.14025974025974025	0.024242424242424242	0.012727272727272726	0.10562770562770563	0.0	0.030943722943722947	0.0358961038961039	0.09264069264069263	0.04124675324675325	0.026857142857142857	0.12554112554112554	0.03232900432900433	0.03083116883116883	0.11168831168831168	0.04316017316017316	0.03815584415584416	0.07849350649350649	0.12380952380952381	0.08744588744588745	0.05283116883116883	0.0053073593073593075	0.03713419913419914	0.010926406926406926	0.007021645021645021	0.036883116883116886	0.04084848484848485	0.026943722943722943	0.0803982683982684	0.11168831168831168	0.12034632034632034	0.07965367965367966	0.05505627705627706	0.01412121212121212	0.0005627705627705628	0.0637922077922078	0.04355844155844156	0.0	0.041090909090909095	0.02541991341991342	0.1774891774891775	0.03884848484848485	0.06335930735930737	0.11168831168831168	0.08	0.03994805194805195	0.12207792207792208	0.05697835497835498	0.08917748917748917	0.10649350649350649	0.12121212121212122	0.0344935064935065	0.03907359307359307	0.11688311688311688	0.0
